attributes;image_url;unit;category;article;sale_price;price;name;url;weight
Белки: ;/imgs/products_w/12972/t02-00716r--kovsh-dulce-16-so-steklyannoy-kryshkoy-i-metallicheskoy-ruchkoy--diametr-16-sm--obem-1-4-l--1.JPG;шт;Посуда  | Для кухни;12972;;2483.59;Ковш Dulce 16 со стеклянной крышкой и металлической ручкой, Guffman - диаметр 16 см, объем 1,4 л;t02-00716r--kovsh-dulce-16-so-steklyannoy-kryshkoy-i-metallicheskoy-ruchkoy--diametr-16-sm--obem-1-4-l-.html;1
Белки: ;/imgs/products_w/12973/t02-00820r-kastryulya-dulce-so-steklyannoy-kryshkoy-i-metallicheskimi-ruchkami--diametr-20-sm--obem-2-8-l-1.JPG;шт;Посуда  | Для кухни;12973;;3084.9;Кастрюля Dulce со стеклянной крышкой и металлическими ручками, Guffman - диаметр 20 см, объем 2,8 л;t02-00820r-kastryulya-dulce-so-steklyannoy-kryshkoy-i-metallicheskimi-ruchkami--diametr-20-sm--obem-2-8-l.html;1
Белки: ;/imgs/products_w/12975/t02-02624r-kastryulya-dulce-so-steklyannoy-kryshkoy-i-metallicheskimi-ruchkami--diametr-24-sm--obem-5-8-l-1.JPG;шт;Посуда  | Для кухни;12975;;4427.62;Кастрюля Dulce со стеклянной крышкой и металлическими ручками, диаметр 24 см, Guffman - объем 5,8 л;t02-02624r-kastryulya-dulce-so-steklyannoy-kryshkoy-i-metallicheskimi-ruchkami--diametr-24-sm--obem-5-8-l.html;1
Белки: 9,6;/imgs/products_w/11958/syrniki-iz-rikotty---160-g-1.jpg;шт;Ресторан Ecomarket;11958;325;275;Сырники из рикотты - 250 г;syrniki-iz-rikotty---250-g.html;1
Белки: 22,1;/imgs/products_w/13752/syr-pekorini-iz-ovechego-moloka-45----250-g-1.jpg;кг;Сыры ;13752;;845.98;Сыр Пекорини из овечьего молока 45% Ecomarket.ru ~ 180 г;syr-pekorini-iz-ovechego-moloka-45----180-g.html;0.18
Белки: ;/imgs/products_w/12482/shampun-rastitelnyy-greypfrut-i-malina-dlya-sohraneniya-cveta-i-bleska-okrashennyh-volos-265-ml--blush-1.jpg;шт;Уход за волосами;12482;;1790.9;Шампунь Hempz растительный Грейпфрут и Малина для сохранения цвета и блеска окрашенных волос - 265 мл;shampun-rastitelnyy-greypfrut-i-malina-dlya-sohraneniya-cveta-i-bleska-okrashennyh-volos-265-ml--blush.html;1
Белки: ;/imgs/products_w/12483/kondicioner-rastitelnyy-greypfrut-i-malina-dlya-sohraneniya-cveta-i-bleska-okrashennyh-volos-265-ml--b-1.jpg;шт;Уход за волосами;12483;;1790.9;Кондиционер Hempz растительный Грейпфрут и Малина для сохранения цвета и блеска окрашенных волос - 265 мл;kondicioner-rastitelnyy-greypfrut-i-malina-dlya-sohraneniya-cveta-i-bleska-okrashennyh-volos-265-ml--b.html;1
Белки: ;/imgs/products_w/13264/petuh-fermerskiy-s-m---1-5kg-1.jpg;кг;Птица и дичь;13264;;883.5;ПЕТУХ ФЕРМЕРСКИЙ С/М ~ 1,5кг;petuh-fermerskiy-s-m---1-5kg.html;1.5
Белки: 1,1;/imgs/products_w/10483/chernika--b-z--300-g--1.jpg;шт;Фрукты и ягоды;10483;;198.5;Черника зам. Ecomarket.ru  -  300 г;chernika--b-z--300-g-.html;1
Белки: ;/imgs/products_w/13353/biologicheski-aktivnaya-dobavka-k-pische-botanik-prebiotik-shot-1.1631523879.jpg;шт;Суперфуды и протеины ;13353;;185.7;Биологически активная добавка к пище Ботаник Пребиотик шот;biologicheski-aktivnaya-dobavka-k-pische-botanik-prebiotik-shot.html;1
Белки: 12,7;/imgs/products_w/11595/yayco-kurinoe-cvetnoe---10-sht-1.jpg;шт;Яйца и майонез;11595;;199.8;Яйцо куриное цветное Ecomarket.ru - 10 шт;yayco-kurinoe-cvetnoe-ecomarket-ru---10-sht.html;1
Белки: ;/imgs/products_w/11600/podarochnyy-nabor-muzhskoy-nabor-1.jpg;шт;Подарочные наборы;11600;5400.5;5168.5;Подарочный набор МУЖСКОЙ НАБОР;podarochnyy-nabor-muzhskoy-nabor.html;1
Белки: 6,5;/imgs/products_w/9566/podarochnyy-nabor-shoko-a-1.jpg;шт;Подарочные наборы;9566;;1595.8;Подарочный набор: 2 вида молочного шоколада и шоколадно-ореховая паста, Mojo Cacao;podarochnyy-nabor-shoko-a.html;1
Белки: 7,47 г.;/imgs/products_w/8343/hleb-fitnes-ecomarket-ru---450-g-1.jpeg;шт;Хлеб, хлебцы и сухари;8343;;172.8;Хлеб Фитнес Ecomarket.ru ~ 450 г;hleb-fitnes-ecomarket-ru---450-g.html;1
Белки: ;/imgs/products_w/5277/zubnaya-schetka-dlya-slabyh-desen--cj-lion-crystal-1.jpg;шт;Уход за полостью рта;5277;;185.7;Зубная щетка для слабых десен, CJ Lion Crystal;zubnaya-schetka-dlya-slabyh-desen--cj-lion-crystal.html;1
Белки: ;/imgs/products/5534/mangal-s-usilennym-dnom-i-6-shampurami-forester-bc-779-1.jpg;шт;Дача и пикник;5534;;1556.72;Мангал с усиленным дном и 6 шампурами Forester BC-779;mangal-s-usilennym-dnom-i-6-shampurami-forester-bc-779.html;1
